WTeam,LTeam,WLoc
Toronto Raptors,New Orleans Pelicans,H
Los Angeles Clippers,Los Angeles Lakers,H
Charlotte Hornets,Chicago Bulls,H
Detroit Pistons,Indiana Pacers,V
Orlando Magic,Cleveland Cavaliers,H
Minnesota Timberwolves,Brooklyn Nets,V
Miami Heat,Memphis Grizzlies,H
Philadelphia 76ers,Boston Celtics,H
Dallas Mavericks,Washington Wizards,H
San Antonio Spurs,New York Knicks,H
Utah Jazz,Oklahoma City Thunder,H
Phoenix Suns,Sacramento Kings,H
Denver Nuggets,Portland Trail Blazers,V
Atlanta Hawks,Detroit Pistons,V
Milwaukee Bucks,Houston Rockets,V
Los Angeles Clippers,Golden State Warriors,H
Boston Celtics,Toronto Raptors,V
Minnesota Timberwolves,Charlotte Hornets,V
Brooklyn Nets,New York Knicks,H
Chicago Bulls,Memphis Grizzlies,V
Dallas Mavericks,New Orleans Pelicans,H
Washington Wizards,Oklahoma City Thunder,V
Denver Nuggets,Phoenix Suns,V
Portland Trail Blazers,Sacramento Kings,H
Los Angeles Lakers,Utah Jazz,V
Miami Heat,Milwaukee Bucks,H
Philadelphia 76ers,Detroit Pistons,H
Atlanta Hawks,Orlando Magic,V
Boston Celtics,New York Knicks,V
Toronto Raptors,Chicago Bulls,H
Cleveland Cavaliers,Indiana Pacers,V
Houston Rockets,New Orleans Pelicans,H
San Antonio Spurs,Washington Wizards,H
Utah Jazz,Sacramento Kings,H
Phoenix Suns,Los Angeles Clippers,H
Oklahoma City Thunder,Golden State Warriors,V
Memphis Grizzlies,Brooklyn Nets,V
Portland Trail Blazers,Dallas Mavericks,H
Minnesota Timberwolves,Miami Heat,V
Los Angeles Lakers,Charlotte Hornets,V
New York Knicks,Chicago Bulls,V
Detroit Pistons,Indiana Pacers,V
Toronto Raptors,Orlando Magic,H
Philadelphia 76ers,Atlanta Hawks,H
Houston Rockets,Oklahoma City Thunder,H
Milwaukee Bucks,Cleveland Cavaliers,V
Golden State Warriors,New Orleans Pelicans,H
San Antonio Spurs,Portland Trail Blazers,H
Utah Jazz,Phoenix Suns,H
Denver Nuggets,Sacramento Kings,V
Los Angeles Clippers,Charlotte Hornets,H
Miami Heat,Atlanta Hawks,H
Dallas Mavericks,Denver Nuggets,H
Los Angeles Lakers,Memphis Grizzlies,V
Cleveland Cavaliers,Chicago Bulls,V
Orlando Magic,New York Knicks,H
Philadelphia 76ers,Minnesota Timberwolves,H
Boston Celtics,Milwaukee Bucks,V
Indiana Pacers,Brooklyn Nets,H
Toronto Raptors,Detroit Pistons,H
Portland Trail Blazers,Oklahoma City Thunder,H
Houston Rockets,Washington Wizards,H
Charlotte Hornets,Sacramento Kings,H
Utah Jazz,Los Angeles Clippers,H
Phoenix Suns,Golden State Warriors,H
