Home,Away,Winner,Loser,WinProb
Brooklyn Nets,Golden State Warriors,Golden State Warriors,Brooklyn Nets,0.696168309614245
Los Angeles Lakers,Los Angeles Clippers,Los Angeles Lakers,Los Angeles Clippers,0.7288806094348701
Cleveland Cavaliers,Charlotte Hornets,Charlotte Hornets,Cleveland Cavaliers,0.9132052722052086
Indiana Pacers,New York Knicks,Indiana Pacers,New York Knicks,0.9236022902414057
Orlando Magic,Miami Heat,Orlando Magic,Miami Heat,0.5059881569609215
Philadelphia 76ers,Washington Wizards,Washington Wizards,Philadelphia 76ers,0.9351092858971283
Toronto Raptors,New Orleans Pelicans,New Orleans Pelicans,Toronto Raptors,0.9295549593058371
Boston Celtics,Milwaukee Bucks,Milwaukee Bucks,Boston Celtics,0.9730374446603764
Chicago Bulls,Atlanta Hawks,Atlanta Hawks,Chicago Bulls,0.8252863012425222
Memphis Grizzlies,San Antonio Spurs,San Antonio Spurs,Memphis Grizzlies,0.6847170673807362
Minnesota Timberwolves,Detroit Pistons,Detroit Pistons,Minnesota Timberwolves,0.7776081714590517
Denver Nuggets,Sacramento Kings,Sacramento Kings,Denver Nuggets,0.9903029258986298
Portland Trail Blazers,Utah Jazz,Portland Trail Blazers,Utah Jazz,0.9064326967294214
Phoenix Suns,Dallas Mavericks,Phoenix Suns,Dallas Mavericks,0.6183036796072037
Denver Nuggets,Los Angeles Clippers,Los Angeles Clippers,Denver Nuggets,0.6727596458577607
Los Angeles Lakers,Dallas Mavericks,Dallas Mavericks,Los Angeles Lakers,0.557133568711485
Boston Celtics,Brooklyn Nets,Brooklyn Nets,Boston Celtics,0.9896389554877042
Milwaukee Bucks,Golden State Warriors,Golden State Warriors,Milwaukee Bucks,0.862960631333866
Miami Heat,New Orleans Pelicans,New Orleans Pelicans,Miami Heat,0.9942087562605362
Memphis Grizzlies,Atlanta Hawks,Atlanta Hawks,Memphis Grizzlies,0.9606232810097681
