Team,PowerRating,ORtg,DRtg,MOV,SRS,OffensiveRating,DefensiveRating
Utah Jazz,100.0,117.6,108.3,9.25,8.97,95.27,88.12
Los Angeles Clippers,92.53,117.6,111.2,6.18,6.02,95.27,59.41
Phoenix Suns,91.58,117.2,111.3,5.82,5.67,92.57,58.42
Milwaukee Bucks,91.34,117.2,111.4,5.89,5.57,92.57,57.43
Philadelphia 76ers,90.61,113.2,107.6,5.58,5.28,65.54,95.05
Denver Nuggets,89.28,117.1,112.1,4.93,4.82,91.89,50.5
Brooklyn Nets,88.0,118.3,113.8,4.5,4.24,100.0,33.66
Los Angeles Lakers,83.71,109.9,107.1,2.79,2.77,43.24,100.0
Dallas Mavericks,82.61,115.4,113.0,2.26,2.26,80.41,41.58
Atlanta Hawks,82.54,115.7,113.3,2.32,2.14,82.43,38.61
New York Knicks,82.47,110.6,108.2,2.31,2.13,47.97,89.11
Portland Trail Blazers,81.3,117.8,116.0,1.79,1.81,96.62,11.88
Boston Celtics,80.29,114.0,112.5,1.46,1.32,70.95,46.53
Memphis Grizzlies,79.38,112.0,111.0,1.03,1.07,57.43,61.39
Golden State Warriors,79.36,111.1,110.1,1.06,1.1,51.35,70.3
Miami Heat,76.68,111.2,111.2,0.03,-0.06,52.03,59.41
Indiana Pacers,76.64,112.4,112.4,-0.04,-0.13,60.14,47.52
New Orleans Pelicans,75.99,113.5,113.8,-0.29,-0.2,67.57,33.66
Toronto Raptors,75.41,112.0,112.5,-0.47,-0.54,57.43,46.53
Chicago Bulls,74.36,111.1,112.0,-0.89,-0.94,51.35,51.49
San Antonio Spurs,72.43,111.0,112.8,-1.74,-1.58,50.68,43.56
Washington Wizards,72.04,111.2,113.0,-1.83,-1.85,52.03,41.58
Charlotte Hornets,71.8,110.9,112.8,-1.93,-1.94,50.0,43.56
Sacramento Kings,67.62,113.6,117.2,-3.68,-3.45,68.24,0.0
Detroit Pistons,65.29,108.0,112.5,-4.47,-4.38,30.41,46.53
Minnesota Timberwolves,62.83,109.5,115.0,-5.56,-5.25,40.54,21.78
Houston Rockets,56.93,107.1,114.9,-7.9,-7.5,24.32,22.77
Cleveland Cavaliers,55.14,105.8,114.4,-8.44,-8.19,15.54,27.72
Orlando Magic,53.09,105.1,114.5,-9.31,-9.02,10.81,26.73
Oklahoma City Thunder,50.0,103.5,114.0,-10.64,-10.13,0.0,31.68
