Vteam,Hteam
Golden State Warriors,Brooklyn Nets
Los Angeles Clippers,Los Angeles Lakers
Charlotte Hornets,Cleveland Cavaliers
New York Knicks,Indiana Pacers
Miami Heat,Orlando Magic
Washington Wizards,Philadelphia 76ers
New Orleans Pelicans,Toronto Raptors
Milwaukee Bucks,Boston Celtics
Atlanta Hawks,Chicago Bulls
San Antonio Spurs,Memphis Grizzlies
Detroit Pistons,Minnesota Timberwolves
Sacramento Kings,Denver Nuggets
Utah Jazz,Portland Trail Blazers
Dallas Mavericks,Phoenix Suns
Los Angeles Clippers,Denver Nuggets
Dallas Mavericks,Los Angeles Lakers
Brooklyn Nets,Boston Celtics
Golden State Warriors,Milwaukee Bucks
New Orleans Pelicans,Miami Heat
Atlanta Hawks,Memphis Grizzlies
Oklahoma City Thunder,Charlotte Hornets
Cleveland Cavaliers,Detroit Pistons
Orlando Magic,Washington Wizards
Philadelphia 76ers,New York Knicks
Indiana Pacers,Chicago Bulls
Toronto Raptors,San Antonio Spurs
Minnesota Timberwolves,Utah Jazz
Houston Rockets,Portland Trail Blazers
Phoenix Suns,Sacramento Kings
Minnesota Timberwolves,Los Angeles Lakers
Phoenix Suns,Sacramento Kings
Golden State Warriors,Chicago Bulls
Milwaukee Bucks,New York Knicks
Boston Celtics,Indiana Pacers
Brooklyn Nets,Charlotte Hornets
Orlando Magic,Washington Wizards
San Antonio Spurs,New Orleans Pelicans
Dallas Mavericks,Los Angeles Clippers
Philadelphia 76ers,Cleveland Cavaliers
Memphis Grizzlies,Brooklyn Nets
Detroit Pistons,Atlanta Hawks
Utah Jazz,Oklahoma City Thunder
Houston Rockets,Denver Nuggets
Portland Trail Blazers,Los Angeles Lakers
Minnesota Timberwolves,Los Angeles Clippers
New Orleans Pelicans,Phoenix Suns
Orlando Magic,Oklahoma City Thunder
Milwaukee Bucks,Miami Heat
Denver Nuggets,Sacramento Kings
Chicago Bulls,Washington Wizards
Boston Celtics,Indiana Pacers
Golden State Warriors,Detroit Pistons
New York Knicks,Cleveland Cavaliers
Toronto Raptors,Philadelphia 76ers
Milwaukee Bucks,Miami Heat
Atlanta Hawks,Brooklyn Nets
Memphis Grizzlies,Boston Celtics
Charlotte Hornets,Dallas Mavericks
Los Angeles Lakers,San Antonio Spurs
Portland Trail Blazers,Los Angeles Clippers
Phoenix Suns,Utah Jazz
New Orleans Pelicans,Oklahoma City Thunder
New York Knicks,Toronto Raptors
Cleveland Cavaliers,Indiana Pacers
Philadelphia 76ers,Orlando Magic
Chicago Bulls,Washington Wizards
Sacramento Kings,Houston Rockets
Los Angeles Lakers,San Antonio Spurs
Portland Trail Blazers,Golden State Warriors
Los Angeles Clippers,Utah Jazz
Phoenix Suns,Denver Nuggets
Washington Wizards,Minnesota Timberwolves
Atlanta Hawks,Brooklyn Nets
Chicago Bulls,Milwaukee Bucks
Boston Celtics,Detroit Pistons
Miami Heat,Dallas Mavericks
Memphis Grizzlies,Charlotte Hornets
Sacramento Kings,Houston Rockets
New York Knicks,Indiana Pacers
Oklahoma City Thunder,Orlando Magic
Charlotte Hornets,Philadelphia 76ers
Cleveland Cavaliers,Atlanta Hawks
Toronto Raptors,New Orleans Pelicans
Portland Trail Blazers,Golden State Warriors
