Round,Round_Name,Series_Number,Team1,Team2,Winner,Score,Games
1,First Round,1,Phoenix Suns,New Orleans Pelicans,New Orleans Pelicans,'3-4,7
1,First Round,2,Utah Jazz,Los Angeles Clippers,Los Angeles Clippers,'2-4,6
1,First Round,3,Denver Nuggets,Dallas Mavericks,Denver Nuggets,'4-3,7
1,First Round,4,Los Angeles Lakers,Golden State Warriors,Los Angeles Lakers,'4-0,4
1,First Round,5,Philadelphia 76ers,Washington Wizards,Philadelphia 76ers,'4-2,6
1,First Round,6,Boston Celtics,Atlanta Hawks,Atlanta Hawks,'3-4,7
1,First Round,7,Indiana Pacers,Toronto Raptors,Toronto Raptors,'3-4,7
1,First Round,8,Brooklyn Nets,Milwaukee Bucks,Brooklyn Nets,'4-1,5
2,Conference Semifinals,1,New Orleans Pelicans,Los Angeles Clippers,Los Angeles Clippers,'2-4,6
2,Conference Semifinals,2,Denver Nuggets,Los Angeles Lakers,Denver Nuggets,'4-2,6
2,Conference Semifinals,3,Philadelphia 76ers,Atlanta Hawks,Philadelphia 76ers,'4-2,6
2,Conference Semifinals,4,Toronto Raptors,Brooklyn Nets,Toronto Raptors,'4-0,4
3,Conference Finals,1,Los Angeles Clippers,Denver Nuggets,Los Angeles Clippers,'4-2,6
3,Conference Finals,2,Philadelphia 76ers,Toronto Raptors,Philadelphia 76ers,'4-0,4
4,NBA Finals,1,Los Angeles Clippers,Philadelphia 76ers,Los Angeles Clippers,'4-3,7
