Round,Game_Number,Home_Team,Away_Team,Winner,Series_Score
First Round,1,Phoenix Suns,New Orleans Pelicans,New Orleans Pelicans,'0-1
First Round,2,New Orleans Pelicans,Phoenix Suns,Phoenix Suns,'1-1
First Round,3,Phoenix Suns,New Orleans Pelicans,Phoenix Suns,'2-1
First Round,4,New Orleans Pelicans,Phoenix Suns,New Orleans Pelicans,'2-2
First Round,5,Phoenix Suns,New Orleans Pelicans,Phoenix Suns,'3-2
First Round,6,New Orleans Pelicans,Phoenix Suns,New Orleans Pelicans,'3-3
First Round,7,Phoenix Suns,New Orleans Pelicans,New Orleans Pelicans,'3-4
First Round,1,Utah Jazz,Los Angeles Clippers,Utah Jazz,'1-0
First Round,2,Los Angeles Clippers,Utah Jazz,Utah Jazz,'2-0
First Round,3,Utah Jazz,Los Angeles Clippers,Los Angeles Clippers,'2-1
First Round,4,Los Angeles Clippers,Utah Jazz,Los Angeles Clippers,'2-2
First Round,5,Utah Jazz,Los Angeles Clippers,Los Angeles Clippers,'2-3
First Round,6,Los Angeles Clippers,Utah Jazz,Los Angeles Clippers,'2-4
First Round,1,Denver Nuggets,Dallas Mavericks,Denver Nuggets,'1-0
First Round,2,Dallas Mavericks,Denver Nuggets,Dallas Mavericks,'1-1
First Round,3,Denver Nuggets,Dallas Mavericks,Dallas Mavericks,'1-2
First Round,4,Dallas Mavericks,Denver Nuggets,Denver Nuggets,'2-2
First Round,5,Denver Nuggets,Dallas Mavericks,Denver Nuggets,'3-2
First Round,6,Dallas Mavericks,Denver Nuggets,Dallas Mavericks,'3-3
First Round,7,Denver Nuggets,Dallas Mavericks,Denver Nuggets,'4-3
First Round,1,Los Angeles Lakers,Golden State Warriors,Los Angeles Lakers,'1-0
First Round,2,Golden State Warriors,Los Angeles Lakers,Los Angeles Lakers,'2-0
First Round,3,Los Angeles Lakers,Golden State Warriors,Los Angeles Lakers,'3-0
First Round,4,Golden State Warriors,Los Angeles Lakers,Los Angeles Lakers,'4-0
First Round,1,Philadelphia 76ers,Washington Wizards,Philadelphia 76ers,'1-0
First Round,2,Washington Wizards,Philadelphia 76ers,Washington Wizards,'1-1
First Round,3,Philadelphia 76ers,Washington Wizards,Philadelphia 76ers,'2-1
First Round,4,Washington Wizards,Philadelphia 76ers,Washington Wizards,'2-2
First Round,5,Philadelphia 76ers,Washington Wizards,Philadelphia 76ers,'3-2
First Round,6,Washington Wizards,Philadelphia 76ers,Philadelphia 76ers,'4-2
First Round,1,Boston Celtics,Atlanta Hawks,Atlanta Hawks,'0-1
First Round,2,Atlanta Hawks,Boston Celtics,Boston Celtics,'1-1
First Round,3,Boston Celtics,Atlanta Hawks,Atlanta Hawks,'1-2
First Round,4,Atlanta Hawks,Boston Celtics,Boston Celtics,'2-2
First Round,5,Boston Celtics,Atlanta Hawks,Atlanta Hawks,'2-3
First Round,6,Atlanta Hawks,Boston Celtics,Boston Celtics,'3-3
First Round,7,Boston Celtics,Atlanta Hawks,Atlanta Hawks,'3-4
First Round,1,Indiana Pacers,Toronto Raptors,Toronto Raptors,'0-1
First Round,2,Toronto Raptors,Indiana Pacers,Toronto Raptors,'0-2
First Round,3,Indiana Pacers,Toronto Raptors,Indiana Pacers,'1-2
First Round,4,Toronto Raptors,Indiana Pacers,Toronto Raptors,'1-3
First Round,5,Indiana Pacers,Toronto Raptors,Indiana Pacers,'2-3
First Round,6,Toronto Raptors,Indiana Pacers,Indiana Pacers,'3-3
First Round,7,Indiana Pacers,Toronto Raptors,Toronto Raptors,'3-4
First Round,1,Brooklyn Nets,Milwaukee Bucks,Brooklyn Nets,'1-0
First Round,2,Milwaukee Bucks,Brooklyn Nets,Brooklyn Nets,'2-0
First Round,3,Brooklyn Nets,Milwaukee Bucks,Brooklyn Nets,'3-0
First Round,4,Milwaukee Bucks,Brooklyn Nets,Milwaukee Bucks,'3-1
First Round,5,Brooklyn Nets,Milwaukee Bucks,Brooklyn Nets,'4-1
Conference Semifinals,1,New Orleans Pelicans,Los Angeles Clippers,Los Angeles Clippers,'0-1
Conference Semifinals,2,Los Angeles Clippers,New Orleans Pelicans,Los Angeles Clippers,'0-2
Conference Semifinals,3,New Orleans Pelicans,Los Angeles Clippers,Los Angeles Clippers,'0-3
Conference Semifinals,4,Los Angeles Clippers,New Orleans Pelicans,New Orleans Pelicans,'1-3
Conference Semifinals,5,New Orleans Pelicans,Los Angeles Clippers,New Orleans Pelicans,'2-3
Conference Semifinals,6,Los Angeles Clippers,New Orleans Pelicans,Los Angeles Clippers,'2-4
Conference Semifinals,1,Denver Nuggets,Los Angeles Lakers,Los Angeles Lakers,'0-1
Conference Semifinals,2,Los Angeles Lakers,Denver Nuggets,Denver Nuggets,'1-1
Conference Semifinals,3,Denver Nuggets,Los Angeles Lakers,Denver Nuggets,'2-1
Conference Semifinals,4,Los Angeles Lakers,Denver Nuggets,Los Angeles Lakers,'2-2
Conference Semifinals,5,Denver Nuggets,Los Angeles Lakers,Denver Nuggets,'3-2
Conference Semifinals,6,Los Angeles Lakers,Denver Nuggets,Denver Nuggets,'4-2
Conference Semifinals,1,Philadelphia 76ers,Atlanta Hawks,Philadelphia 76ers,'1-0
Conference Semifinals,2,Atlanta Hawks,Philadelphia 76ers,Atlanta Hawks,'1-1
Conference Semifinals,3,Philadelphia 76ers,Atlanta Hawks,Philadelphia 76ers,'2-1
Conference Semifinals,4,Atlanta Hawks,Philadelphia 76ers,Atlanta Hawks,'2-2
Conference Semifinals,5,Philadelphia 76ers,Atlanta Hawks,Philadelphia 76ers,'3-2
Conference Semifinals,6,Atlanta Hawks,Philadelphia 76ers,Philadelphia 76ers,'4-2
Conference Semifinals,1,Toronto Raptors,Brooklyn Nets,Toronto Raptors,'1-0
Conference Semifinals,2,Brooklyn Nets,Toronto Raptors,Toronto Raptors,'2-0
Conference Semifinals,3,Toronto Raptors,Brooklyn Nets,Toronto Raptors,'3-0
Conference Semifinals,4,Brooklyn Nets,Toronto Raptors,Toronto Raptors,'4-0
Conference Finals,1,Los Angeles Clippers,Denver Nuggets,Los Angeles Clippers,'1-0
Conference Finals,2,Denver Nuggets,Los Angeles Clippers,Denver Nuggets,'1-1
Conference Finals,3,Los Angeles Clippers,Denver Nuggets,Los Angeles Clippers,'2-1
Conference Finals,4,Denver Nuggets,Los Angeles Clippers,Los Angeles Clippers,'3-1
Conference Finals,5,Los Angeles Clippers,Denver Nuggets,Denver Nuggets,'3-2
Conference Finals,6,Denver Nuggets,Los Angeles Clippers,Los Angeles Clippers,'4-2
Conference Finals,1,Philadelphia 76ers,Toronto Raptors,Philadelphia 76ers,'1-0
Conference Finals,2,Toronto Raptors,Philadelphia 76ers,Philadelphia 76ers,'2-0
Conference Finals,3,Philadelphia 76ers,Toronto Raptors,Philadelphia 76ers,'3-0
Conference Finals,4,Toronto Raptors,Philadelphia 76ers,Philadelphia 76ers,'4-0
NBA Finals,1,Los Angeles Clippers,Philadelphia 76ers,Philadelphia 76ers,'0-1
NBA Finals,2,Philadelphia 76ers,Los Angeles Clippers,Philadelphia 76ers,'0-2
NBA Finals,3,Los Angeles Clippers,Philadelphia 76ers,Los Angeles Clippers,'1-2
NBA Finals,4,Philadelphia 76ers,Los Angeles Clippers,Los Angeles Clippers,'2-2
NBA Finals,5,Los Angeles Clippers,Philadelphia 76ers,Los Angeles Clippers,'3-2
NBA Finals,6,Philadelphia 76ers,Los Angeles Clippers,Philadelphia 76ers,'3-3
NBA Finals,7,Los Angeles Clippers,Philadelphia 76ers,Los Angeles Clippers,'4-3
