Round,Team1,Team2,Winner,Loser,Series_Score,Games_Played
First Round,Phoenix Suns,New Orleans Pelicans,New Orleans Pelicans,Phoenix Suns,'3-4,7
First Round,Utah Jazz,Los Angeles Clippers,Los Angeles Clippers,Utah Jazz,'2-4,6
First Round,Denver Nuggets,Dallas Mavericks,Denver Nuggets,Dallas Mavericks,'4-3,7
First Round,Los Angeles Lakers,Golden State Warriors,Los Angeles Lakers,Golden State Warriors,'4-0,4
First Round,Philadelphia 76ers,Washington Wizards,Philadelphia 76ers,Washington Wizards,'4-2,6
First Round,Boston Celtics,Atlanta Hawks,Atlanta Hawks,Boston Celtics,'3-4,7
First Round,Indiana Pacers,Toronto Raptors,Toronto Raptors,Indiana Pacers,'3-4,7
First Round,Brooklyn Nets,Milwaukee Bucks,Brooklyn Nets,Milwaukee Bucks,'4-1,5
Conference Semifinals,New Orleans Pelicans,Los Angeles Clippers,Los Angeles Clippers,New Orleans Pelicans,'2-4,6
Conference Semifinals,Denver Nuggets,Los Angeles Lakers,Denver Nuggets,Los Angeles Lakers,'4-2,6
Conference Semifinals,Philadelphia 76ers,Atlanta Hawks,Philadelphia 76ers,Atlanta Hawks,'4-2,6
Conference Semifinals,Toronto Raptors,Brooklyn Nets,Toronto Raptors,Brooklyn Nets,'4-0,4
Conference Finals,Los Angeles Clippers,Denver Nuggets,Los Angeles Clippers,Denver Nuggets,'4-2,6
Conference Finals,Philadelphia 76ers,Toronto Raptors,Philadelphia 76ers,Toronto Raptors,'4-0,4
NBA Finals,Los Angeles Clippers,Philadelphia 76ers,Los Angeles Clippers,Philadelphia 76ers,'4-3,7
