Team,Conference,W,L,WinPct,Home_W,Home_L,Home_WinPct,Away_W,Away_L,Away_WinPct
Phoenix Suns,West,53,19,0.7361111111111112,28,8,0.7777777777777778,25,11,0.6944444444444444
Los Angeles Lakers,West,51,22,0.6986301369863014,17,20,0.4594594594594595,34,2,0.9444444444444444
Denver Nuggets,West,48,24,0.6666666666666666,17,19,0.4722222222222222,31,5,0.8611111111111112
Utah Jazz,West,48,24,0.6666666666666666,34,2,0.9444444444444444,14,22,0.3888888888888889
Los Angeles Clippers,West,45,27,0.625,31,5,0.8611111111111112,14,22,0.3888888888888889
Dallas Mavericks,West,40,32,0.5555555555555556,18,18,0.5,22,14,0.6111111111111112
Golden State Warriors,West,39,35,0.527027027027027,20,17,0.5405405405405406,19,18,0.5135135135135135
New Orleans Pelicans,West,36,36,0.5,0,36,0.0,36,0,1.0
Sacramento Kings,West,35,37,0.4861111111111111,0,36,0.0,35,1,0.9722222222222222
San Antonio Spurs,West,35,38,0.4794520547945205,21,15,0.5833333333333334,14,23,0.3783783783783784
Memphis Grizzlies,West,34,40,0.4594594594594595,3,34,0.08108108108108109,31,6,0.8378378378378378
Portland Trail Blazers,West,33,39,0.4583333333333333,27,9,0.75,6,30,0.16666666666666666
Minnesota Timberwolves,West,27,45,0.375,4,32,0.1111111111111111,23,13,0.6388888888888888
Houston Rockets,West,21,51,0.2916666666666667,3,33,0.08333333333333333,18,18,0.5
Oklahoma City Thunder,West,14,58,0.19444444444444445,1,35,0.027777777777777776,13,23,0.3611111111111111
Philadelphia 76ers,East,52,20,0.7222222222222222,18,18,0.5,34,2,0.9444444444444444
Brooklyn Nets,East,47,25,0.6527777777777778,15,21,0.4166666666666667,32,4,0.8888888888888888
Indiana Pacers,East,48,26,0.6486486486486487,22,15,0.5945945945945946,26,11,0.7027027027027027
Boston Celtics,East,41,32,0.5616438356164384,14,23,0.3783783783783784,27,9,0.75
Atlanta Hawks,East,38,34,0.5277777777777778,18,18,0.5,20,16,0.5555555555555556
Toronto Raptors,East,38,34,0.5277777777777778,28,8,0.7777777777777778,10,26,0.2777777777777778
Milwaukee Bucks,East,37,35,0.5138888888888888,2,34,0.05555555555555555,35,1,0.9722222222222222
Washington Wizards,East,36,38,0.4864864864864865,6,31,0.16216216216216217,30,7,0.8108108108108109
Miami Heat,East,35,37,0.4861111111111111,10,26,0.2777777777777778,25,11,0.6944444444444444
Chicago Bulls,East,33,39,0.4583333333333333,12,24,0.3333333333333333,21,15,0.5833333333333334
New York Knicks,East,33,39,0.4583333333333333,27,9,0.75,6,30,0.16666666666666666
Cleveland Cavaliers,East,27,45,0.375,0,36,0.0,27,9,0.75
Detroit Pistons,East,27,45,0.375,9,27,0.25,18,18,0.5
Charlotte Hornets,East,27,46,0.3698630136986301,11,25,0.3055555555555556,16,21,0.43243243243243246
Orlando Magic,East,8,64,0.1111111111111111,4,32,0.1111111111111111,4,32,0.1111111111111111
